"","mRNA","GO","Term","Annotated","Significant","Expected","Fisher","ontology","sig.prop"
"1197","evm.TU.chromosome_14.5528","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1198","evm.TU.chromosome_14.5529","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1199","evm.TU.chromosome_14.3816","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1200","evm.TU.chromosome_14.7275","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Biological Processes",0.0857142857142857
"1201","evm.TU.chromosome_14.93","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1202","evm.TU.chromosome_14.6187","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"1203","evm.TU.chromosome_14.5298","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"1204","evm.TU.chromosome_14.5294","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Biological Processes",0.0666666666666667
"1205","evm.TU.chromosome_14.5297","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"1206","evm.TU.chromosome_14.1080","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1207","evm.TU.chromosome_14.6026","GO:0043686","co-translational protein modification",4,1,0.04,0.0346,"Biological Processes",0.25
"1208","evm.TU.chromosome_14.13","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Biological Processes",0.046875
"1209","evm.TU.chromosome_14.17","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Biological Processes",0.0740740740740741
"1210","evm.TU.chromosome_14.17","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1211","evm.TU.chromosome_14.17","GO:0007178","cell surface receptor protein serine/threonine kina...",297,4,2.6,0.0345,"Biological Processes",0.0134680134680135
"1212","evm.TU.chromosome_14.3099","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1213","evm.TU.chromosome_14.3099","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Biological Processes",0.105263157894737
"1214","evm.TU.chromosome_14.3099","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1215","evm.TU.chromosome_14.5667_evm.TU.chromosome_14.5670","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1216","evm.TU.chromosome_14.168","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1217","evm.TU.chromosome_14.3013","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Biological Processes",0.105263157894737
"1218","evm.TU.chromosome_14.3013","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1219","evm.TU.chromosome_14.1329","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1220","evm.TU.chromosome_14.1698","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1221","evm.TU.chromosome_14.6841","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"1222","evm.TU.chromosome_14.6841","GO:0090073","positive regulation of protein homodimerization act...",35,2,0.31,0.0375,"Biological Processes",0.0571428571428571
"1223","evm.TU.chromosome_14.1509","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1224","evm.TU.chromosome_14.538","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1225","evm.TU.chromosome_14.6941","GO:0044571","[2Fe-2S] cluster assembly",2,1,0.02,0.0174,"Biological Processes",0.5
"1226","evm.TU.chromosome_14.6941","GO:0006777","Mo-molybdopterin cofactor biosynthetic process",9,2,0.08,0.0026,"Biological Processes",0.222222222222222
"1227","evm.TU.chromosome_14.6941","GO:0044571","[2Fe-2S] cluster assembly",2,1,0.02,0.0174,"Biological Processes",0.5
"1228","evm.TU.chromosome_14.6052","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1229","evm.TU.chromosome_14.6050","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1230","evm.TU.chromosome_14.7081","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"1231","evm.TU.chromosome_14.3100","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1232","evm.TU.chromosome_14.6089","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1233","evm.TU.chromosome_14.6089","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1234","evm.TU.chromosome_14.6503","GO:0006094","gluconeogenesis",37,3,0.32,0.0142,"Biological Processes",0.0810810810810811
"1235","evm.TU.chromosome_14.6503","GO:0006094","gluconeogenesis",37,3,0.32,0.0142,"Biological Processes",0.0810810810810811
"1236","evm.TU.chromosome_14.7005","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Biological Processes",0.027027027027027
"1237","evm.TU.chromosome_14.7005","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"1238","evm.TU.chromosome_14.7001","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Biological Processes",0.027027027027027
"1239","evm.TU.chromosome_14.7001","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"1240","evm.TU.chromosome_14.7000","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Biological Processes",0.027027027027027
"1241","evm.TU.chromosome_14.7000","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"1242","evm.TU.chromosome_14.9","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1243","evm.TU.chromosome_14.1531","GO:0006094","gluconeogenesis",37,3,0.32,0.0142,"Biological Processes",0.0810810810810811
"1244","evm.TU.chromosome_14.6983","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Biological Processes",0.027027027027027
"1245","evm.TU.chromosome_14.6982","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"1246","evm.TU.chromosome_14.5475","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"1247","evm.TU.chromosome_14.5475","GO:0090073","positive regulation of protein homodimerization act...",35,2,0.31,0.0375,"Biological Processes",0.0571428571428571
"1248","evm.TU.chromosome_14.1027","GO:1902990","mitotic telomere maintenance via semi-conservative ...",2,1,0.02,0.0174,"Biological Processes",0.5
"1249","evm.TU.chromosome_14.6321","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1250","evm.TU.chromosome_14.5088_evm.TU.chromosome_14.5091","GO:0006094","gluconeogenesis",37,3,0.32,0.0142,"Biological Processes",0.0810810810810811
"1251","evm.TU.chromosome_14.5088_evm.TU.chromosome_14.5091","GO:0006094","gluconeogenesis",37,3,0.32,0.0142,"Biological Processes",0.0810810810810811
"1252","evm.TU.chromosome_14.6829","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1253","evm.TU.chromosome_14.6829","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Biological Processes",0.105263157894737
"1254","evm.TU.chromosome_14.6829","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1255","evm.TU.chromosome_14.7156.1.5f15e5ee","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1256","evm.TU.chromosome_14.5442","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Biological Processes",0.0454545454545455
"1257","evm.TU.chromosome_14.5442","GO:0090073","positive regulation of protein homodimerization act...",35,2,0.31,0.0375,"Biological Processes",0.0571428571428571
"1258","evm.TU.chromosome_14.1564","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1259","evm.TU.chromosome_14.6377","GO:0006139","nucleobase-containing compound metabolic process",5768,62,50.52,0.0156,"Biological Processes",0.010748959778086
"1260","evm.TU.chromosome_14.1338","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Biological Processes",0.105263157894737
"1261","evm.TU.chromosome_14.1338","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1262","evm.TU.chromosome_14.799","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1263","evm.TU.chromosome_14.798","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1264","evm.TU.chromosome_14.5684","GO:0006958","complement activation, classical pathway",12,2,0.11,0.0047,"Biological Processes",0.166666666666667
"1265","evm.TU.chromosome_14.6488","GO:0006958","complement activation, classical pathway",12,2,0.11,0.0047,"Biological Processes",0.166666666666667
"1266","evm.TU.chromosome_14.5113.2.5f15e186","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"1267","evm.TU.chromosome_14.5113.1.5f15e186.1.5f169068","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"1268","evm.TU.chromosome_14.5113","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"1269","evm.TU.chromosome_14.5113.1.5f15e186","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Biological Processes",0.0508474576271186
"1270","evm.TU.chromosome_14.4760","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Biological Processes",0.0326530612244898
"1271","evm.TU.chromosome_14.6144","GO:0030026","intracellular manganese ion homeostasis",1,1,0.01,0.0088,"Biological Processes",1
"1272","evm.TU.chromosome_14.6144","GO:0032468","Golgi calcium ion homeostasis",1,1,0.01,0.0088,"Biological Processes",1
"1273","evm.TU.chromosome_14.6144","GO:0032472","Golgi calcium ion transport",2,1,0.02,0.0174,"Biological Processes",0.5
"1274","evm.TU.chromosome_14.6407","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1275","evm.TU.chromosome_14.523","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Biological Processes",0.0857142857142857
"1276","evm.TU.chromosome_14.523","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Biological Processes",0.0857142857142857
"1277","evm.TU.chromosome_14.1209","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Biological Processes",0.0103061533798121
"1278","evm.TU.chromosome_1.1449","GO:0006555","methionine metabolic process",37,2,0.32,0.0344,"Cellular Components",0.0540540540540541
"1279","evm.TU.chromosome_1.1447","GO:0006555","methionine metabolic process",37,2,0.32,0.0344,"Cellular Components",0.0540540540540541
"1280","evm.TU.chromosome_1.13","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1281","evm.TU.chromosome_1.676","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Cellular Components",0.0857142857142857
"1282","evm.TU.chromosome_1.360","GO:0006094","gluconeogenesis",37,3,0.32,0.0142,"Cellular Components",0.0810810810810811
"1283","evm.TU.chromosome_1.965","GO:1902894","negative regulation of miRNA transcription",4,1,0.04,0.0346,"Cellular Components",0.25
"1284","evm.TU.chromosome_1.961.1.5f15dcbb","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1285","evm.TU.chromosome_1.961","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1286","evm.TU.chromosome_1.1046","GO:2000323","negative regulation of glucocorticoid receptor sign...",4,1,0.04,0.0346,"Cellular Components",0.25
"1287","evm.TU.chromosome_1.622","GO:0006777","Mo-molybdopterin cofactor biosynthetic process",9,2,0.08,0.0026,"Cellular Components",0.222222222222222
"1288","evm.TU.chromosome_1.622","GO:0006777","Mo-molybdopterin cofactor biosynthetic process",9,2,0.08,0.0026,"Cellular Components",0.222222222222222
"1289","evm.TU.chromosome_1.201","GO:0006515","protein quality control for misfolded or incomplete...",14,2,0.12,0.0065,"Cellular Components",0.142857142857143
"1290","evm.TU.chromosome_1.1616","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1291","evm.TU.chromosome_1.1908","GO:0006625","protein targeting to peroxisome",4,1,0.04,0.0346,"Cellular Components",0.25
"1292","evm.TU.chromosome_1.91","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Cellular Components",0.1
"1293","evm.TU.chromosome_1.92","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Cellular Components",0.1
"1294","evm.TU.chromosome_1.1098","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1295","evm.TU.chromosome_1.1098","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1296","evm.TU.chromosome_1.653","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Cellular Components",0.0857142857142857
"1297","evm.TU.chromosome_1.1830","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1298","evm.TU.chromosome_1.1024","GO:1901741","positive regulation of myoblast fusion",2,1,0.02,0.0174,"Cellular Components",0.5
"1299","evm.TU.chromosome_1.721","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Cellular Components",0.0666666666666667
"1300","evm.TU.chromosome_1.993","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1301","evm.TU.chromosome_1.1534","GO:0042843","D-xylose catabolic process",4,1,0.04,0.0346,"Cellular Components",0.25
"1302","evm.TU.chromosome_1.1533","GO:0042843","D-xylose catabolic process",4,1,0.04,0.0346,"Cellular Components",0.25
"1303","evm.TU.chromosome_1.1530","GO:0046330","positive regulation of JNK cascade",66,3,0.58,0.0202,"Cellular Components",0.0454545454545455
"1304","evm.TU.chromosome_1.1530","GO:0045663","positive regulation of myoblast differentiation",2,1,0.02,0.0174,"Cellular Components",0.5
"1305","evm.TU.chromosome_1.1613","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1306","evm.TU.chromosome_1.186","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1307","evm.TU.chromosome_1.1137","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1308","evm.TU.chromosome_1.1695","GO:0045743","positive regulation of fibroblast growth factor rec...",7,2,0.06,0.0016,"Cellular Components",0.285714285714286
"1309","evm.TU.chromosome_1.384","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1310","evm.TU.chromosome_1.386_evm.TU.chromosome_1.387","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1311","evm.TU.chromosome_1.1450","GO:0006555","methionine metabolic process",37,2,0.32,0.0344,"Cellular Components",0.0540540540540541
"1312","evm.TU.chromosome_1.662","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Cellular Components",0.027027027027027
"1313","evm.TU.chromosome_1.662","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1314","evm.TU.chromosome_1.369","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1315","evm.TU.chromosome_1.1465","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1316","evm.TU.chromosome_1.1151","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1317","evm.TU.chromosome_1.864","GO:0030278","regulation of ossification",193,3,1.69,0.0345,"Cellular Components",0.0155440414507772
"1318","evm.TU.chromosome_1.864","GO:0007178","cell surface receptor protein serine/threonine kina...",297,4,2.6,0.0345,"Cellular Components",0.0134680134680135
"1319","evm.TU.chromosome_1.988","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1320","evm.TU.chromosome_1.988","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1321","evm.TU.chromosome_1.1609","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1322","evm.TU.chromosome_1.1607","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1323","evm.TU.chromosome_1.644","GO:0006777","Mo-molybdopterin cofactor biosynthetic process",9,2,0.08,0.0026,"Cellular Components",0.222222222222222
"1324","evm.TU.chromosome_1.644","GO:0006777","Mo-molybdopterin cofactor biosynthetic process",9,2,0.08,0.0026,"Cellular Components",0.222222222222222
"1325","evm.TU.chromosome_1.481","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1326","evm.TU.chromosome_1.224","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Cellular Components",0.105263157894737
"1327","evm.TU.chromosome_2.2077","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Cellular Components",0.0740740740740741
"1328","evm.TU.chromosome_2.1821","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Cellular Components",0.0740740740740741
"1329","evm.TU.chromosome_2.1823","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Cellular Components",0.0740740740740741
"1330","evm.TU.chromosome_2.1207","GO:0050773","regulation of dendrite development",98,3,0.86,0.0354,"Cellular Components",0.0306122448979592
"1331","evm.TU.chromosome_2.1910","GO:0006425","glutaminyl-tRNA aminoacylation",2,1,0.02,0.0174,"Cellular Components",0.5
"1332","evm.TU.chromosome_2.1910","GO:0006425","glutaminyl-tRNA aminoacylation",2,1,0.02,0.0174,"Cellular Components",0.5
"1333","evm.TU.chromosome_2.1994","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1334","evm.TU.chromosome_2.1994","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1335","evm.TU.chromosome_2.59","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1336","evm.TU.chromosome_2.214","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1337","evm.TU.chromosome_2.583","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1338","evm.TU.chromosome_2.621","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Cellular Components",0.0857142857142857
"1339","evm.TU.chromosome_2.621","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Cellular Components",0.0857142857142857
"1340","evm.TU.chromosome_2.2086","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1341","evm.TU.chromosome_2.2086","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1342","evm.TU.chromosome_2.2087","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1343","evm.TU.chromosome_2.1925","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1344","evm.TU.chromosome_2.393","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1345","evm.TU.chromosome_2.390","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1346","evm.TU.chromosome_2.394","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1347","evm.TU.chromosome_2.1262","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1348","evm.TU.chromosome_2.346","GO:0072734","cellular response to staurosporine",4,1,0.04,0.0346,"Cellular Components",0.25
"1349","evm.TU.chromosome_2.1103","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1350","evm.TU.chromosome_2.48","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1351","evm.TU.chromosome_2.1217","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1352","evm.TU.chromosome_2.1860","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1353","evm.TU.chromosome_2.510","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1354","evm.TU.chromosome_2.510","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1355","evm.TU.chromosome_2.17","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1356","evm.TU.chromosome_2.1575","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Cellular Components",0.1
"1357","evm.TU.chromosome_2.597","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1358","evm.TU.chromosome_2.657","GO:0034587","piRNA processing",19,2,0.17,0.0118,"Cellular Components",0.105263157894737
"1359","evm.TU.chromosome_2.657","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1360","evm.TU.chromosome_2.651","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1361","evm.TU.chromosome_2.61","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1362","evm.TU.chromosome_2.1275","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1363","evm.TU.chromosome_2.981","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1364","evm.TU.chromosome_2.543","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1365","evm.TU.chromosome_2.250","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1366","evm.TU.chromosome_2.1711","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Cellular Components",0.1
"1367","evm.TU.chromosome_2.1719","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Cellular Components",0.1
"1368","evm.TU.chromosome_2.578","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1369","evm.TU.chromosome_2.269","GO:0000387","spliceosomal snRNP assembly",35,3,0.31,0.0169,"Cellular Components",0.0857142857142857
"1370","evm.TU.chromosome_2.1886","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Cellular Components",0.027027027027027
"1371","evm.TU.chromosome_2.1886","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1372","evm.TU.chromosome_2.639","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1373","evm.TU.chromosome_2.2094","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Cellular Components",0.0666666666666667
"1374","evm.TU.chromosome_2.1356","GO:0007283","spermatogenesis",245,8,2.15,0.0058,"Cellular Components",0.0326530612244898
"1375","evm.TU.chromosome_2.1878","GO:0051289","protein homotetramerization",64,3,0.56,0.0186,"Cellular Components",0.046875
"1376","evm.TU.chromosome_2.387","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1377","evm.TU.chromosome_2.388","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1378","evm.TU.chromosome_2.389","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1379","evm.TU.chromosome_2.49","GO:0030154","cell differentiation",3299,34,28.89,0.0359,"Cellular Components",0.0103061533798121
"1380","evm.TU.chromosome_2.771","GO:0001502","cartilage condensation",27,2,0.24,0.0232,"Cellular Components",0.0740740740740741
"1381","evm.TU.chromosome_2.771","GO:0071479","cellular response to ionizing radiation",59,3,0.52,0.0263,"Cellular Components",0.0508474576271186
"1382","evm.TU.chromosome_2.771","GO:0071356","cellular response to tumor necrosis factor",111,3,0.97,0.0281,"Cellular Components",0.027027027027027
"1383","evm.TU.chromosome_2.771","GO:0014835","myoblast differentiation involved in skeletal muscl...",2,1,0.02,0.0174,"Cellular Components",0.5
"1384","evm.TU.chromosome_2.771","GO:0090336","positive regulation of brown fat cell differentiati...",2,1,0.02,0.0174,"Cellular Components",0.5
"1385","evm.TU.chromosome_2.771","GO:0010759","positive regulation of macrophage chemotaxis",2,1,0.02,0.0174,"Cellular Components",0.5
"1386","evm.TU.chromosome_2.771","GO:0045663","positive regulation of myoblast differentiation",2,1,0.02,0.0174,"Cellular Components",0.5
"1387","evm.TU.chromosome_2.771","GO:1901741","positive regulation of myoblast fusion",2,1,0.02,0.0174,"Cellular Components",0.5
"1388","evm.TU.chromosome_2.771","GO:0010831","positive regulation of myotube differentiation",4,1,0.04,0.0346,"Cellular Components",0.25
"1389","evm.TU.chromosome_2.771","GO:0030278","regulation of ossification",193,3,1.69,0.0345,"Cellular Components",0.0155440414507772
"1390","evm.TU.chromosome_2.771","GO:0090400","stress-induced premature senescence",3,1,0.03,0.026,"Cellular Components",0.333333333333333
"1391","evm.TU.chromosome_2.771","GO:0007178","cell surface receptor protein serine/threonine kina...",297,4,2.6,0.0345,"Cellular Components",0.0134680134680135
"1392","evm.TU.chromosome_2.771","GO:0048010","vascular endothelial growth factor receptor signali...",45,3,0.39,0.0071,"Cellular Components",0.0666666666666667
"1393","evm.TU.chromosome_2.1560","GO:0071340","skeletal muscle acetylcholine-gated channel cluster...",20,2,0.18,0.0131,"Cellular Components",0.1
"1394","evm.TU.chromosome_2.88","GO:0061472","karyomere membrane fusion",3,1,0.03,0.026,"Cellular Components",0.333333333333333
"1395","evm.TU.chromosome_2.88","GO:0007344","pronuclear fusion",4,1,0.04,0.0346,"Cellular Components",0.25
"1396","evm.TU.chromosome_2.644","GO:0070842","aggresome assembly",3,1,0.03,0.026,"Cellular Components",0.333333333333333
"1397","evm.TU.chromosome_2.644","GO:0070846","Hsp90 deacetylation",1,1,0.01,0.0088,"Cellular Components",1
"1398","evm.TU.chromosome_2.644","GO:0010727","negative regulation of hydrogen peroxide metabolic ...",2,1,0.02,0.0174,"Cellular Components",0.5
"1399","evm.TU.chromosome_2.644","GO:0034983","peptidyl-lysine deacetylation",4,1,0.04,0.0346,"Cellular Components",0.25
"1400","evm.TU.chromosome_2.644","GO:0070845","polyubiquitinated misfolded protein transport",1,1,0.01,0.0088,"Cellular Components",1
"1401","evm.TU.chromosome_2.644","GO:0090035","positive regulation of chaperone-mediated protein c...",3,1,0.03,0.026,"Cellular Components",0.333333333333333
"1402","evm.TU.chromosome_2.644","GO:1901300","positive regulation of hydrogen peroxide-mediated p...",3,1,0.03,0.026,"Cellular Components",0.333333333333333
