"","X","miRNA","mRNA","PCC.cor","p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","AST.1065","AST.1147","AST.1412","AST.1560","AST.1567","AST.1617","AST.1722","AST.2000","AST.2007","AST.2302","AST.2360","AST.2398","AST.2404","AST.2412","AST.2512","AST.2523","AST.2563","AST.2729","AST.2755","DEG"
"112",1700,"Cluster_1192","evm.TU.chromosome_2.1639",0.155059656949552,0.526174802611591,148,-20.49,"2 13","168 189",11,"81.82%","90.91%",15217,8522,10532,1333,2637,9303,4129,3675,15003,14230,7156,7977,13686,15033,3150,12504,9713,3924,1757,"Y"
"113",1707,"Cluster_1452","evm.TU.chromosome_1.1781",0.484503716729252,0.0355308022547352,161,-22.21,"2 20","450 470",18,"72.22%","88.89%",64,142,43,5,27,2718,173,215,107,100,66,122,113,86,41,74,61,0,0,"Y"
"114",1710,"Cluster_4754","evm.TU.chromosome_14.4953",-0.235774762628806,0.331179689575335,175,-23.01,"2 20","715 736",18,"83.33%","88.89%",0,450,9,14,3,120,5,8,2,28,0,10,17,0,4,16,37,0,0,"Y"
"115",1726,"Cluster_4646","evm.TU.chromosome_7.2807",0.121825174912947,0.619308699976679,168,-22.76,"2 20","427 449",20,"85.00%","85.00%",10,16,0,4,0,33,14,0,183,33,6,0,15,10,3,114,17,7,12,"Y"
"116",1731,"Cluster_3293","evm.TU.chromosome_2.1058",0.197532471020789,0.41759317165533,160,-20.03,"2 19","620 643",20,"75.00%","85.00%",283,46,769,27,8,1646,62,59,612,1135,190,54,439,155,37,382,312,152,12,"Y"
"117",1733,"Cluster_1192","evm.TU.chromosome_5.287",0.379123147371681,0.109421584692906,147,-20.79,"2 21","91 113",20,"60.00%","75.00%",927,2216,318,11,659,1090,1393,154,882,883,625,1544,757,676,100,658,558,136,83,"Y"
"118",1737,"Cluster_30","evm.TU.chromosome_9.1593",0.0147908913438895,0.952077621746452,178,-23.68,"2 21","915 935",19,"89.47%","89.47%",118,106,171,8,13,58,57,195,93,118,41,9,29,44,14,42,103,45,3,"Y"
"119",1758,"Cluster_1453","evm.TU.chromosome_4.1968",-0.25391456063208,0.294194006771373,151,-20.37,"2 21","834 856",20,"70.00%","70.00%",36,2075,301,5,426,207,1603,859,66,168,412,1710,349,694,45,67,107,0,43,"Y"
"120",1769,"Cluster_4831","evm.TU.chromosome_11.1584",0.348204263150406,0.144035699401144,172,-21.52,"2 17","303 324",15,"93.33%","93.33%",272,81,37,4,3,174,104,35,135,99,136,80,147,123,24,138,134,30,31,"Y"
"121",1867,"Cluster_1411","evm.TU.chromosome_13.3198",-0.218212062972781,0.369465473326771,152,-20.21,"2 18","143 166",18,"72.22%","77.78%",283,72,409,31,34,130,101,222,99,41,121,52,162,52,9,132,185,22,25,"Y"
"122",1880,"Cluster_1663","evm.TU.chromosome_9.348",-0.00111467802464935,0.996386487204018,178,-23.48,"2 21","630 650",19,"84.21%","94.74%",148,0,0,4,0,0,171,0,164,3,0,0,4,0,0,0,120,0,0,"Y"
"123",1904,"Cluster_4831","evm.TU.chromosome_14.6844",-0.0302158252484443,0.902270578593363,168,-24.44,"2 17","5 26",15,"86.67%","93.33%",636,199,245,36,63,130,131,17,354,451,444,169,413,440,81,570,655,53,18,"Y"
"124",1923,"Cluster_998","evm.TU.chromosome_3.1785",-0.4229624324043,0.0711898665724017,162,-21.38,"2 20","937 960",21,"76.19%","76.19%",85,50,66,39,13,87,68,15,142,62,95,61,110,115,16,64,62,6,8,"Y"
"125",1950,"Cluster_4646","evm.TU.chromosome_5.668",-0.0157588119422008,0.94894533926782,158,-20.31,"2 19","505 524",17,"82.35%","88.24%",4006,527,4111,237,86,320,390,456,2683,4644,534,257,809,1473,199,1654,4901,179,185,"Y"
"126",1951,"Cluster_1452","evm.TU.chromosome_5.667",-0.115811105194495,0.636832557609767,168,-22.69,"2 21","963 984",19,"73.68%","84.21%",174,69,481,13,19,103,37,119,217,251,104,98,197,176,39,101,281,68,19,"Y"
"127",1952,"Cluster_1473","evm.TU.chromosome_5.667",0.192571135106502,0.429616833127234,166,-21.93,"2 19","832 853",17,"82.35%","82.35%",174,69,481,13,19,103,37,119,217,251,104,98,197,176,39,101,281,68,19,"Y"
"128",1975,"Cluster_137","evm.TU.chromosome_10.2289",-0.0140637433118888,0.954431186471254,145,-20.59,"2 20","777 803",23,"65.22%","69.57%",9063,9333,6537,1420,2148,5527,4733,543,5130,17570,3436,7193,10899,3892,1699,16762,5281,1887,1133,"Y"
"129",1979,"Cluster_1453","evm.TU.chromosome_6.2772",0.502212707368753,0.0284379543477106,158,-25.73,"2 20","963 989",23,"65.22%","78.26%",2874,2056,1402,75,350,2836,710,631,2732,3433,1298,1436,4045,3158,522,2482,1932,386,305,"Y"
"130",1980,"Cluster_9205","evm.TU.chromosome_4.1423_evm.TU.chromosome_4.1431",-0.280433514916629,0.244863444106084,153,-20.53,"2 20","248 268",18,"66.67%","83.33%",2531,1111,931,130,133,1296,689,357,2026,1773,863,573,1030,1265,218,1285,1070,322,283,"Y"
"131",2014,"Cluster_3331","evm.TU.chromosome_14.6221",-0.350720719483671,0.140964406842283,153,-20.53,"2 15","372 394",14,"85.71%","85.71%",324,20,423,7,14,207,24,41,367,244,58,78,235,202,20,303,156,0,25,"Y"
"132",2015,"Cluster_3337","evm.TU.chromosome_14.6221",-0.0928532263618404,0.705371844396472,153,-20.53,"2 15","372 394",14,"85.71%","85.71%",324,20,423,7,14,207,24,41,367,244,58,78,235,202,20,303,156,0,25,"Y"
"133",2016,"Cluster_3338","evm.TU.chromosome_14.6221",-0.0882536363920772,0.719389535538144,153,-20.53,"2 15","372 394",14,"85.71%","85.71%",324,20,423,7,14,207,24,41,367,244,58,78,235,202,20,303,156,0,25,"Y"
"134",2022,"Cluster_492","evm.TU.chromosome_6.2923",-0.161530742208024,0.508833016745078,164,-20.44,"2 21","276 297",19,"68.42%","84.21%",104,39,46,0,0,45,18,5,45,42,21,12,95,90,10,110,62,5,6,"Y"
"135",2023,"Cluster_1473","evm.TU.chromosome_11.1003",0.076444093666474,0.755765657671072,163,-22.77,"2 21","158 180",20,"75.00%","80.00%",4342,1449,517,89,88,716,651,117,2407,2976,976,334,3602,3959,196,3949,2408,348,297,"Y"
"136",2028,"Cluster_3037","evm.TU.chromosome_14.5912",-0.0351760751735615,0.886319334056358,153,-22.33,"2 20","348 372",22,"72.73%","72.73%",140,249,32,15,18,55,38,24,107,775,31,91,36,39,17,205,55,97,22,"Y"
"137",2045,"Cluster_1453","evm.TU.chromosome_11.1627",0.541088458712354,0.0167407986324439,158,-21.1,"2 17","923 943",15,"86.67%","86.67%",119,58,9,3,9,82,9,16,223,83,48,25,86,73,13,123,99,0,16,"Y"
"138",2066,"Cluster_30","evm.TU.chromosome_7.2834",0.020002134996301,0.935222587672569,168,-20.43,"2 20","407 426",18,"83.33%","88.89%",1440,252,336,34,159,327,448,109,680,558,191,159,351,424,78,677,201,204,34,"Y"
"139",2070,"Cluster_2003","evm.TU.chromosome_4.266",0.725378352971891,0.000440330400833682,144,-22.1,"2 16","251 275",17,"76.47%","82.35%",172,121,123,30,32,138,128,6,173,292,102,108,153,243,27,189,197,31,20,"Y"
"140",2102,"Cluster_1452","evm.TU.chromosome_14.673",-0.188634453822763,0.439285665317031,162,-25.17,"2 21","843 863",19,"78.95%","78.95%",6,36,7,0,38,31,40,0,0,0,37,116,13,22,4,20,30,0,0,"Y"
"141",2154,"Cluster_4696","evm.TU.chromosome_9.121",-0.367686688524192,0.121444521375412,176,-25.07,"2 21","569 590",19,"78.95%","89.47%",8195,1559,3610,223,54,4912,3366,2276,4628,5181,3095,810,8435,8653,1616,3473,2476,801,818,"Y"
"142",2182,"Cluster_5061","evm.TU.chromosome_9.2665",-0.0678756824710841,0.782474703945352,152,-20.48,"2 21","201 222",19,"52.63%","84.21%",44,315,85,0,304,51,185,40,74,88,40,597,48,96,8,40,47,0,0,"Y"
"143",2189,"Cluster_3423","evm.TU.chromosome_3.718",-0.137027771416748,0.575895154600358,167,-20.65,"2 21","821 846",23,"73.91%","78.26%",2,173,2,0,0,42,209,0,0,4,3,63,2,4,0,4,15,0,0,"Y"
"144",2204,"Cluster_8986","evm.TU.chromosome_3.1946",-0.33427076134912,0.161885914630631,158,-21.29,"2 21","797 820",21,"71.43%","80.95%",388,236,439,59,87,493,199,109,422,1162,209,279,512,350,111,451,496,61,34,"Y"
"145",2209,"Cluster_2073","evm.TU.chromosome_13.51",-0.142677310285912,0.560102692938296,165,-21.03,"2 21","237 258",20,"80.00%","85.00%",457,485,465,31,91,991,490,467,539,546,351,538,365,382,168,419,417,141,39,"Y"
"146",2274,"Cluster_1452","evm.TU.chromosome_12.1521",-0.325664164630381,0.173639031411888,167,-21.51,"2 16","592 613",14,"92.86%","92.86%",33,0,4,19,0,9,2,0,14,7,0,0,23,15,0,16,20,0,0,"Y"
"147",2339,"Cluster_4696","evm.TU.chromosome_3.2001",-0.291544120694285,0.225870532362936,161,-20.37,"2 21","874 893",19,"73.68%","84.21%",557,47,71,0,0,63,53,77,637,211,97,56,213,181,33,248,834,41,0,"Y"
"148",2371,"Cluster_1452","evm.TU.chromosome_14.5270",-0.0651884911571942,0.790900833627911,147,-23.16,"2 21","580 599",20,"65.00%","80.00%",12,11,20,0,15,24,16,43,7,14,0,8,0,0,0,20,0,0,0,"Y"
"149",2373,"Cluster_1473","evm.TU.chromosome_9.213",0.135918647643826,0.579017808858298,159,-20.92,"2 21","479 501",20,"70.00%","80.00%",2362,1533,780,47,237,1405,1006,634,2831,2421,987,1006,1921,1641,455,1577,1500,306,264,"Y"
"150",2376,"Cluster_4640","evm.TU.chromosome_2.197",0.60301783042117,0.00627533213330789,156,-21.16,"2 19","916 940",20,"75.00%","80.00%",243,622,141,8,124,317,416,58,152,145,121,455,291,164,27,221,188,16,22,"Y"
"151",2382,"Cluster_449","evm.TU.chromosome_13.2157",0.27071415641313,0.262288291341355,167,-20.57,"2 16","604 625",14,"85.71%","100.00%",215,1276,152,0,246,313,1142,64,280,188,169,677,287,210,48,176,179,0,0,"Y"
"152",2410,"Cluster_5061","evm.TU.chromosome_10.1534_evm.TU.chromosome_10.1537",0.155349186177743,0.525393080379664,163,-23.44,"2 21","247 271",22,"68.18%","81.82%",169,658,182,4,194,240,470,193,155,202,141,555,188,188,45,209,162,28,17,"Y"
"153",2471,"Cluster_9205","evm.TU.chromosome_10.327",-0.419335850320771,0.0739083981594561,171,-20.68,"2 21","943 965",20,"80.00%","85.00%",3581,247,436,216,34,91,186,122,394,629,699,206,1539,1961,185,880,1834,24,329,"Y"
"154",2474,"Cluster_3037","evm.TU.chromosome_8.1710",0.723851215251282,0.000458926548237712,171,-24.38,"2 20","375 395",18,"77.78%","88.89%",560,132,141,23,36,328,80,33,388,418,183,114,1231,638,40,399,370,13,77,"Y"
"155",2476,"Cluster_3423","evm.TU.chromosome_10.819",0.276553701655957,0.251728329976451,177,-20.48,"2 18","98 119",16,"93.75%","93.75%",3913,3510,1604,247,773,2552,1217,122,2253,7696,1019,1188,3957,678,211,8265,893,766,234,"Y"
"156",2477,"Cluster_4646","evm.TU.chromosome_10.813",0.0354681858327386,0.885381205219984,161,-23.66,"2 19","134 157",19,"73.68%","84.21%",1736,1574,653,330,239,293,1265,89,1548,10451,193,210,1135,531,128,4557,962,368,232,"Y"
"157",2499,"Cluster_4425","evm.TU.chromosome_11.810",0.175780898369377,0.471630515210813,153,-21.63,"2 19","31 54",19,"68.42%","78.95%",930,3011,63,12,789,28,288,4,32,48,29,367,52,972,18,18,331,4,28,"Y"
"158",2500,"Cluster_4425","evm.TU.chromosome_11.810",0.175780898369377,0.471630515210813,158,-23.66,"2 21","2 26",22,"72.73%","77.27%",930,3011,63,12,789,28,288,4,32,48,29,367,52,972,18,18,331,4,28,"Y"
"159",2511,"Cluster_2003","evm.TU.chromosome_2.324",0.104069648370941,0.67157515362578,154,-20.73,"2 15","127 148",13,"84.62%","84.62%",41,4221,24,0,107,119,1067,60,19,100,15,140,63,318,42,56,9805,25,22,"Y"
"160",2541,"Cluster_1453","evm.TU.chromosome_12.1282",0.418580225874532,0.074484389182234,157,-21.49,"2 20","72 92",18,"77.78%","77.78%",449,369,145,30,87,364,255,127,496,514,223,202,487,598,83,389,434,18,25,"Y"
"161",2550,"Cluster_137","evm.TU.chromosome_13.3827",0.544882067011172,0.0158453340066335,151,-21.63,"2 21","866 883",19,"73.68%","73.68%",0,8,0,6,194,10,685,6,7,1531,0,4,35,18,16,12,9,0,0,"Y"
"162",2551,"Cluster_1452","evm.TU.chromosome_13.3827",0.0512564913778757,0.834924297101129,172,-25.17,"2 21","191 212",19,"73.68%","89.47%",0,8,0,6,194,10,685,6,7,1531,0,4,35,18,16,12,9,0,0,"Y"
"163",2570,"Cluster_2003","evm.TU.chromosome_6.2283",0.0798894234749965,0.745098552062086,147,-21.42,"2 21","323 345",20,"65.00%","70.00%",168,132,42,7,8,95,59,22,499,295,58,91,394,252,38,33,658,0,83,"Y"
"164",2587,"Cluster_9000","evm.TU.chromosome_1.1585",-0.181784042467442,0.456377924806176,169,-20.43,"2 20","668 688",18,"83.33%","88.89%",624,404,173,6,68,314,335,50,361,469,206,306,959,822,157,458,453,24,62,"Y"
"165",2599,"Cluster_4425","evm.TU.chromosome_5.769",-0.0073359074089439,0.976221912513951,149,-21.93,"2 21","297 316",19,"68.42%","73.68%",889,2439,526,51,532,1451,2006,157,1460,1510,726,2208,967,749,78,968,535,59,63,"Y"
"166",2603,"Cluster_9000","evm.TU.chromosome_8.1117",0.00417942136334331,0.986451890438469,173,-21.06,"2 18","683 704",16,"81.25%","100.00%",235,722,32,9,422,309,423,131,233,173,140,649,211,177,28,179,209,15,20,"Y"
"167",2640,"Cluster_3037","evm.TU.chromosome_12.926",-0.461070139589271,0.0469357084601294,171,-25.74,"2 20","643 663",18,"83.33%","83.33%",111,376,88,12,161,180,355,47,118,149,154,278,61,73,18,165,58,15,7,"Y"
"168",2678,"Cluster_508","evm.TU.chromosome_3.1315",-0.479292566279619,0.0378588642600878,170,-23.33,"2 21","787 807",19,"78.95%","89.47%",187,0,109,14,0,0,2,0,0,0,128,0,118,127,24,16,80,0,0,"Y"
"169",2723,"Cluster_1453","evm.TU.chromosome_13.3239",0.435860482988262,0.0621217894735935,163,-23.01,"2 21","304 327",21,"71.43%","80.95%",6829,5118,2744,193,1260,4403,4154,700,7533,6155,3671,5479,6135,6062,955,6165,4615,864,590,"Y"
"170",2765,"Cluster_3406","evm.TU.chromosome_1.564",0.441668153379991,0.0583345805262296,151,-20.86,"2 17","57 81",18,"72.22%","77.78%",2,0,4,0,0,0,0,18,8,4,4,0,25,21,4,4,12,0,0,"Y"
"171",2766,"Cluster_4646","evm.TU.chromosome_1.564",0.0829878023872743,0.735543367724315,163,-24.08,"2 21","309 331",20,"75.00%","80.00%",2,0,4,0,0,0,0,18,8,4,4,0,25,21,4,4,12,0,0,"Y"
"172",2771,"Cluster_4831","evm.TU.chromosome_9.823",0.511899593362567,0.025057015725135,159,-20.51,"2 21","623 647",22,"72.73%","72.73%",764,594,321,29,212,544,485,115,1006,410,265,509,1199,611,140,482,652,115,67,"Y"
"173",2795,"Cluster_998","evm.TU.chromosome_1.767",-0.403362036285174,0.086806325453312,161,-20.01,"2 20","610 633",21,"76.19%","80.95%",6,129,41,20,26,107,19,98,62,61,149,278,58,5196,257,38,5635,97,17,"Y"
"174",2865,"Cluster_3889","evm.TU.chromosome_13.1412",0.280827310186092,0.24417340907164,167,-21.2,"2 20","758 778",18,"77.78%","83.33%",135,222,65,10,118,237,263,40,46,87,306,334,284,128,26,127,120,2,7,"Y"
"175",2868,"Cluster_3331","evm.TU.chromosome_11.383",-0.525764851539692,0.0207761914653071,157,-23.1,"2 21","593 618",24,"70.83%","75.00%",84,0,23,0,0,49,0,0,34,0,8,0,16,37,8,0,17,0,0,"Y"
"176",2869,"Cluster_3337","evm.TU.chromosome_11.383",0.0612512540717303,0.803286652615136,157,-23.1,"2 21","593 618",24,"70.83%","75.00%",84,0,23,0,0,49,0,0,34,0,8,0,16,37,8,0,17,0,0,"Y"
"177",2870,"Cluster_3338","evm.TU.chromosome_11.383",0.0682300989186687,0.781365080733713,157,-23.1,"2 21","593 618",24,"70.83%","75.00%",84,0,23,0,0,49,0,0,34,0,8,0,16,37,8,0,17,0,0,"Y"
"178",2877,"Cluster_1453","evm.TU.chromosome_9.1566",0.22988601100226,0.343747587039676,155,-22.81,"2 18","121 144",18,"77.78%","83.33%",237,84,118,4,0,172,59,38,206,151,147,32,128,169,68,142,135,32,20,"Y"
"179",2879,"Cluster_998","evm.TU.chromosome_9.2037",0.201960935047977,0.407015018323001,156,-20.91,"2 13","168 188",11,"90.91%","100.00%",15,384,63,5,173,72,58,0,16,22,145,22,43,22,21,51,15,0,0,"Y"
"180",2904,"Cluster_1453","evm.TU.chromosome_4.1956",-0.286731505174336,0.233976402743684,151,-20.37,"2 21","837 859",20,"70.00%","70.00%",61,2727,317,8,700,355,1924,914,110,123,415,1855,474,659,43,74,373,6,39,"Y"
"181",2907,"Cluster_3293","evm.TU.chromosome_1.406",0.0565074719773764,0.818269306377713,159,-20.28,"2 20","455 475",18,"66.67%","83.33%",156,0,207,0,0,13,0,18,31,36,25,7,5,17,11,135,39,0,0,"Y"
"182",2912,"Cluster_4640","evm.TU.chromosome_3.785",-0.431205033148136,0.0652886276725126,172,-20.38,"2 21","669 690",19,"78.95%","84.21%",456,231,447,32,47,224,130,154,257,463,164,81,195,301,58,164,371,87,31,"Y"
"183",2941,"Cluster_1192","evm.TU.chromosome_4.1130",0.209738119171106,0.388794279738445,175,-24.53,"2 21","744 767",21,"80.95%","85.71%",364,949,557,18,198,629,852,230,540,317,430,680,409,324,99,291,527,96,31,"Y"
"184",2955,"Cluster_4646","evm.TU.chromosome_9.1040",0.194712778029441,0.42440437093712,167,-22.59,"2 21","237 260",21,"76.19%","80.95%",5,357,2,3,279,91,529,4,11,114,68,187,12,2,4,42,48,0,0,"Y"
"185",2993,"Cluster_5061","evm.TU.chromosome_14.797",0.100889407926132,0.681099842544745,152,-20.65,"2 21","932 951",19,"73.68%","78.95%",483,1266,219,8,236,243,456,45,298,453,262,754,199,203,52,287,176,18,9,"Y"
"186",2999,"Cluster_4425","evm.TU.chromosome_10.2359",0.197168050315578,0.418470150563961,155,-22.25,"2 17","158 181",17,"76.47%","82.35%",535,1168,278,24,329,521,651,69,589,489,310,793,409,398,79,369,319,79,80,"Y"
"187",3024,"Cluster_1473","evm.TU.chromosome_9.1073",0.00522065864280013,0.983077005525723,162,-21.05,"2 20","294 317",20,"75.00%","80.00%",30,1774,84,0,528,165,1291,395,24,39,284,220,40,125,31,27,232,0,20,"Y"
"188",3025,"Cluster_1452","evm.TU.chromosome_9.1071",-0.206196206636121,0.397035760380722,158,-20.32,"2 21","194 217",21,"76.19%","76.19%",1024,5774,4044,119,1628,3143,4631,1020,801,5182,2730,3779,936,984,760,2185,914,94,78,"Y"
"189",3092,"Cluster_2003","evm.TU.chromosome_9.2773",0.242300131786746,0.317573332176121,154,-20.73,"2 15","270 291",13,"84.62%","84.62%",590,85,303,19,15,198,175,80,782,777,242,313,181,288,30,456,665,58,43,"Y"
"190",3107,"Cluster_1765","evm.TU.chromosome_2.644",0.580545153636092,0.0091561945381704,172,-21.74,"2 20","443 464",19,"89.47%","89.47%",329,1368,199,14,161,234,803,84,281,313,232,431,306,339,48,171,275,21,38,"Y"
"191",3121,"Cluster_137","evm.TU.chromosome_4.1855",-0.587316514128079,0.00819385427432666,158,-22.96,"2 16","153 175",15,"86.67%","86.67%",811,160,209,46,35,189,92,104,607,206,196,142,595,755,82,665,429,96,40,"Y"
"192",3143,"Cluster_3331","evm.TU.chromosome_11.1863",0.691331224965366,0.00104454014791139,163,-22,"2 18","391 415",19,"84.21%","84.21%",92,505,77,0,110,61,785,14,73,78,90,609,17,82,23,58,93,0,7,"Y"
"193",3144,"Cluster_3337","evm.TU.chromosome_11.1863",-0.498237766661952,0.0299242738404476,163,-22,"2 18","391 415",19,"84.21%","84.21%",92,505,77,0,110,61,785,14,73,78,90,609,17,82,23,58,93,0,7,"Y"
"194",3145,"Cluster_3338","evm.TU.chromosome_11.1863",-0.51061005597359,0.0254879083122056,163,-22,"2 18","391 415",19,"84.21%","84.21%",92,505,77,0,110,61,785,14,73,78,90,609,17,82,23,58,93,0,7,"Y"
"195",3185,"Cluster_1473","evm.TU.chromosome_10.540",0.140525979240398,0.566093892419332,159,-24.04,"2 21","504 524",20,"80.00%","85.00%",554,363,108,12,79,282,176,23,294,289,120,294,581,838,123,235,375,87,121,"Y"
"196",3192,"Cluster_1473","evm.TU.chromosome_14.5416",-0.0180609897521666,0.941498235219329,166,-26.08,"2 21","972 995",21,"76.19%","85.71%",205,128,61,23,0,192,98,30,126,300,46,21,21,30,22,98,30,14,102,"Y"
"197",3210,"Cluster_3037","evm.TU.chromosome_13.3414",-0.166233375769557,0.496403834354183,171,-20.39,"2 20","397 417",18,"77.78%","88.89%",547,106,112,77,34,231,200,10,383,563,49,64,76,139,11,140,325,8,24,"Y"
