Coords	Name	MIRNA	AST-1065_R1_001.fastq.gz_1	AST-1147_R1_001.fastq.gz_1	AST-1412_R1_001.fastq.gz_1	AST-1560_R1_001.fastq.gz_1	AST-1567_R1_001.fastq.gz_1	AST-1617_R1_001.fastq.gz_1	AST-1722_R1_001.fastq.gz_1	AST-2000_R1_001.fastq.gz_1	AST-2007_R1_001.fastq.gz_1	AST-2302_R1_001.fastq.gz_1	AST-2360_R1_001.fastq.gz_1	AST-2398_R1_001.fastq.gz_1	AST-2404_R1_001.fastq.gz_1	AST-2412_R1_001.fastq.gz_1	AST-2512_R1_001.fastq.gz_1	AST-2523_R1_001.fastq.gz_1	AST-2563_R1_001.fastq.gz_1	AST-2729_R1_001.fastq.gz_1	AST-2755_R1_001.fastq.gz_1
chromosome_4:2159072-2159489	Cluster_777	N	13	36	13	7	91	4	0	13	3	7	126	34	1	7	7	17	4	0	65
chromosome_4:2239409-2239839	Cluster_778	N	2	45	2	1	13	2011	1035	0	1	39	9	611	1	3	1	225	4	2	1
chromosome_4:2362840-2363251	Cluster_779	N	12	57	16	1	5	20	9	34	66	25	10	16	78	14	5	35	15	3	21
chromosome_4:2365930-2366407	Cluster_780	N	86	240	56	5	26	69	46	156	99	96	37	110	104	26	26	46	57	30	45
chromosome_4:2373468-2373935	Cluster_781	N	160	838	69	41	62	304	352	662	459	238	104	246	114	115	83	328	246	68	373
chromosome_4:2374683-2375134	Cluster_782	N	100	372	114	67	70	133	170	194	156	153	104	118	165	84	51	107	130	66	98
chromosome_4:2376546-2376981	Cluster_783	N	167	157	72	5	59	294	155	1267	546	215	129	268	172	83	49	142	134	41	168
chromosome_4:2377134-2377596	Cluster_784	N	108	305	132	57	95	254	154	722	332	172	235	205	171	98	84	105	164	94	94
chromosome_4:2415559-2415981	Cluster_785	N	7	359	38	3	24	48	73	75	34	121	9	173	49	16	3	26	27	11	45
chromosome_4:2419151-2419581	Cluster_786	N	78	10	3	1	1	273	1	0	0	1	0	597	887	97	10	0	75	0	47
chromosome_4:2421401-2422261	Cluster_787	N	77	1492	10	1	0	249	8	1	0	5	2	1129	1276	17	22	0	163	2	149
chromosome_4:2422626-2423053	Cluster_788	N	16	593	89	1	0	145	1	0	1	0	2	136	211	26	6	0	42	0	61
chromosome_4:2428701-2429128	Cluster_789	N	20	546	0	0	0	55	1	3	0	0	0	85	60	23	6	0	0	1	225
chromosome_4:2714817-2715232	Cluster_790	N	0	0	0	0	0	415	16	0	0	159	1	0	1	0	0	59	0	2	0
chromosome_4:2772295-2772935	Cluster_791	N	4	612	82	0	57	112	947	31	50	191	19	366	105	7	0	305	35	17	45
chromosome_4:2776406-2776814	Cluster_792	N	0	46	61	0	0	1	2	67	0	53	0	279	20	0	1	171	0	17	0
chromosome_4:2777033-2777803	Cluster_793	N	3	157	161	1	3	1	4	143	0	467	0	1241	59	2	0	580	4	39	0
chromosome_4:2794100-2794528	Cluster_794	N	3	835	8	0	1	4	0	1	0	215	1	0	2	2	4	6	2	0	2
chromosome_4:2966578-2967007	Cluster_795	N	0	151	1	0	1	476	1	3	1	0	3	0	0	0	3	4	1	1	0
chromosome_4:3047942-3048375	Cluster_796	N	139	46529	1	2	3029	887	576	2024	123	1455	110	2449	1068	362	137	1728	34	208	2274
chromosome_4:3142251-3142679	Cluster_797	N	0	118	14	0	0	0	0	166	0	282	3	843	0	1	0	0	0	0	14
chromosome_4:3303025-3303444	Cluster_798	N	10	755	14	1	0	62	115	53	77	59	10	26	18	25	13	33	16	5	41
chromosome_4:3338577-3338996	Cluster_799	N	1	232	22	0	48	35	79	20	9	43	0	109	13	7	3	1	4	0	10
chromosome_4:3352139-3352564	Cluster_800	N	0	17	7	0	0	0	10	11	63	25	0	272	198	37	0	95	1	0	9
chromosome_4:3519442-3519871	Cluster_801	N	1	60	0	4	1	229	1577	382	0	6	0	8785	2653	0	0	0	13	1	0
chromosome_4:3592327-3592743	Cluster_802	N	3	248	13	0	22	0	63	188	0	155	8	14	9	1	9	0	0	0	8
chromosome_4:3678290-3678707	Cluster_803	N	3	1	155	13	0	8	1	10	0	0	3	3	58	12	20	3	17	48	5
chromosome_4:3695634-3696053	Cluster_804	N	104	100	195	71	68	38	39	42	46	109	72	19	103	62	36	76	94	8	174
chromosome_4:3856158-3856586	Cluster_805	N	98	106	2	0	81	146	29	2	0	3	0	96	11	5	0	0	4	37	0
chromosome_4:4301417-4301833	Cluster_806	N	25	59	9	1	38	10	0	23	12	16	18	80	3	7	3	15	5	7	60
chromosome_4:4330903-4331321	Cluster_807	N	15	105	2	6	19	0	22	2	19	18	1	39	1	1	9	29	1	0	734
chromosome_4:4337972-4338757	Cluster_808	N	8	1131	50	2	73	72	1	40	5	38	24	56	0	35	5	24	21	13	16
chromosome_4:4339286-4339712	Cluster_809	N	10	419	25	1	5	53	5	18	56	29	2	23	103	26	10	30	46	15	36
chromosome_4:4478741-4479163	Cluster_810	N	16	255	68	9	43	97	164	22	49	197	9	254	55	20	4	38	17	34	83
chromosome_4:4482295-4482722	Cluster_811	N	1	195	12	0	1643	0	0	0	0	1	0	2	3	0	0	1	0	0	0
chromosome_4:4657132-4657560	Cluster_812	N	2	0	3	0	0	0	0	0	0	25	0	0	0	1	0	1	516	0	0
chromosome_4:4828524-4828952	Cluster_813	N	0	1	1	0	32	0	77	2	42	0	0	0	410	0	0	26	7	1	163
chromosome_4:4889160-4889577	Cluster_814	N	63	46	67	7	68	27	23	132	29	67	50	91	14	14	55	24	35	7	68
chromosome_4:5019300-5019724	Cluster_815	N	2	480	366	0	4	0	0	109	127	2	0	7	1	33	0	42	6	4	2
chromosome_4:5042698-5043126	Cluster_816	N	0	181	3	0	0	36	43	2	179	53	0	0	0	0	0	0	11	0	0
chromosome_4:5183834-5184260	Cluster_817	N	0	1	0	1	0	112	202	5	1	1	0	69	0	2	0	32	1	0	8
chromosome_4:5535495-5535920	Cluster_818	N	0	334	243	0	1	0	278	0	2	2	0	3	3	1	0	0	0	0	0
chromosome_4:5753331-5753833	Cluster_819	N	1	140	55	0	611	0	1	0	586	0	1	0	0	0	0	0	2	1	0
chromosome_4:5773830-5774247	Cluster_820	N	16	55	6	4	144	3	15	50	3	9	0	0	17	36	7	0	0	41	305
chromosome_4:6025232-6025659	Cluster_821	N	32	261	1	0	0	0	0	0	2	1	0	27	220	0	0	0	1	0	23
chromosome_4:6083151-6083568	Cluster_822	N	0	0	0	0	335	1	0	0	0	0	0	1	0	1	1	0	0	0	24
chromosome_4:6219770-6220185	Cluster_823	N	10	68	11	0	4	0	8	5	129	18	73	0	11	8	3	20	4	0	25
chromosome_4:6338289-6338706	Cluster_824	N	16	0	3	6	1	75	2	192	23	0	7	2	52	7	1	3	10	27	8
chromosome_4:6364167-6364587	Cluster_825	N	279	76	308	720	137	41	15	229	126	112	210	39	314	535	338	190	453	767	376
chromosome_4:6527530-6527948	Cluster_826	N	0	91	0	0	31	7	228	1	0	2	0	12	1	0	0	0	1	0	4
chromosome_4:6611852-6612281	Cluster_827	N	79	42	30	0	10	89	45	42	413	21	4	157	87	35	27	86	109	15	63
chromosome_4:7085932-7086352	Cluster_828	N	48	233	46	8	137	20	42	95	7	75	57	100	19	32	39	21	42	15	80
chromosome_4:7289501-7289928	Cluster_829	N	4	173	1	0	37	219	1	4	31	2	0	76	8	6	8	0	210	7	22
chromosome_4:7506870-7507299	Cluster_830	N	8	383	31	2	21	40	24	20	12	18	23	94	39	4	5	4	12	4	16
chromosome_4:7543249-7543781	Cluster_831	N	315	1221	65	9	92	135	562	85	160	852	21	206	119	90	87	332	68	166	178
chromosome_4:7573721-7574138	Cluster_832	N	48	1	6	93	0	0	0	8	19	5	13	0	13	60	132	14	25	10	18
chromosome_4:7575523-7575951	Cluster_833	N	0	7	9	0	2	111	5	0	44	1	4	588	1	1	34	312	24	1	1263
chromosome_4:7610574-7611001	Cluster_834	N	43	213	58	0	48	134	0	148	90	97	55	65	0	43	0	55	69	35	1
chromosome_4:7611212-7611667	Cluster_835	N	132	5108	280	14	670	424	1176	470	298	229	335	820	560	279	0	418	283	196	383
chromosome_4:7779432-7779886	Cluster_836	N	32	1858	76	3	256	150	528	162	51	172	23	786	76	50	4	211	89	34	154
chromosome_4:7794333-7794749	Cluster_837	N	7	14	1	3	20	5	2	30	8	9	6	6	6	5	192	3	9	4	40
chromosome_4:7878745-7879173	Cluster_838	N	6	54	3	0	0	8	0	2	5	1845	1	1	1	2	1	0	45	0	439
chromosome_4:7938964-7939393	Cluster_839	N	3	2	3	0	249	640	457	1027	4	699	62	13	55	192	1	27	8	1	259
chromosome_4:7940621-7941062	Cluster_840	N	0	2	2	0	15	74	695	151	2	65	5	10	9	40	2	24	4	0	4
chromosome_4:7941532-7941966	Cluster_841	N	68	14	40	1	29	276	661	137	193	408	38	248	2	18	16	50	129	9	82
chromosome_4:7942070-7942499	Cluster_842	N	29	18	30	0	63	283	780	69	206	101	6	69	0	26	7	18	21	43	8
chromosome_4:7950514-7951054	Cluster_843	N	10	11082	1148	2	9	367	2386	36	3	1756	111	27	13	372	171	1703	51	18	3494
chromosome_4:8036499-8037021	Cluster_844	N	183	551	45	13	91	454	80	184	544	6	172	139	208	70	26	76	155	44	195
chromosome_4:8063500-8063921	Cluster_845	N	93	51	46	12	17	20	5	67	93	65	58	3	40	29	41	20	42	20	102
chromosome_4:8304545-8304974	Cluster_846	N	169	614	85	1	84	275	178	62	59	218	10	71	66	86	22	24	108	23	8
chromosome_4:8442006-8442422	Cluster_847	N	4	194	8	0	4	5	110	18	0	42	6	0	0	2	1	21	0	0	0
chromosome_4:8496207-8496626	Cluster_848	N	222	136	197	103	117	74	32	126	101	83	247	95	85	60	155	135	58	47	203
chromosome_4:8688544-8688968	Cluster_849	N	0	236	2	0	0	0	63	1	5	3	1	1	0	1	0	343	0	1	3
chromosome_4:8713696-8714120	Cluster_850	N	165	38	101	1	61	256	187	45	73	246	6	90	75	92	20	29	119	16	7
chromosome_4:8744627-8745056	Cluster_851	N	176	38	137	4	83	277	200	173	62	275	8	89	78	77	34	22	113	22	10
chromosome_4:8949065-8949582	Cluster_852	N	50	1656	164	40	361	298	400	217	172	221	89	945	139	60	54	101	75	63	54
chromosome_4:9008097-9008519	Cluster_853	N	6	257	41	1	33	39	98	46	27	112	4	104	30	13	1	55	24	10	28
chromosome_4:9046168-9046593	Cluster_854	N	0	1	0	0	3	171	5	67	2	149	1	5	0	1	0	1	49	0	1
chromosome_4:9313866-9314287	Cluster_855	N	71	743	14	0	41	37	68	1	6	36	6	168	34	9	1	42	0	5	11
chromosome_4:9720193-9720618	Cluster_856	N	0	429	0	0	0	30	0	1	11	0	0	4	0	0	0	0	0	0	0
chromosome_4:9966495-9966916	Cluster_857	N	0	3	0	0	0	0	2	0	0	0	0	488	1	0	0	0	0	0	0
chromosome_4:9968234-9968661	Cluster_858	N	50	3	1	0	345	30	208	4	0	14	0	376	2	1	7	1	2	0	34
chromosome_4:9994996-9995498	Cluster_859	N	4	1158	0	1	36	3	75	2	0	3	19	0	0	35	1	51	0	1	0
chromosome_4:10324776-10324865	Cluster_860	Y	18	576	54	3	131	59	272	71	52	150	17	307	153	23	3	33	8	16	98
chromosome_4:10445145-10445574	Cluster_861	N	21	88	9	34	13	2	19	16	22	22	39	9	46	24	13	751	31	21	26
chromosome_4:10872363-10872780	Cluster_862	N	24	80	117	12	185	0	26	74	0	95	1	0	63	40	5	1	0	177	111
chromosome_4:10896367-10896795	Cluster_863	N	1	642	0	0	1	0	187	32	9	10	0	11	5	0	0	9	1	0	1
chromosome_4:11247778-11248197	Cluster_864	N	0	9	8	0	7	14	13	20	0	2	0	241	2	0	0	0	161	1	1
chromosome_4:11315123-11315550	Cluster_865	N	49	78	12	2	9	3	9	1	39	13	107	48	27	349	122	17	47	4	15
chromosome_4:11373874-11374292	Cluster_866	N	506	1	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0
chromosome_4:12138137-12138582	Cluster_867	N	6	3704	20	1	0	6	19	2	4	21	1	12	309	1	1	11	0	1	2
chromosome_4:12342886-12343303	Cluster_868	N	2	0	51	61	8	1	2	22	0	33	47	0	6	81	25	5	134	25	0
chromosome_4:12502374-12502785	Cluster_869	N	0	262	0	0	0	0	157	0	1	0	0	1	0	0	0	26	0	0	0
chromosome_4:12579079-12579498	Cluster_870	N	7	118	4	1	11	12	43	38	12	26	0	31	9	4	0	15	8	3	20
chromosome_4:12654243-12654660	Cluster_871	N	12	355	6	8	61	41	319	12	1	11	61	195	18	5	3	3	14	18	4
chromosome_4:12732107-12732516	Cluster_872	N	0	0	0	0	0	0	1	2	0	0	0	0	399	1	0	0	0	1	0
chromosome_4:13005100-13005524	Cluster_873	N	1	19	1	0	0	12	5	39	421	19	0	12	0	1	0	1	9	1	1
chromosome_4:13126187-13126614	Cluster_874	N	1	2	2	0	0	8	195	0	2	0	0	315	0	1	0	34	0	0	409
chromosome_4:13186149-13186631	Cluster_875	N	0	273	0	0	1	0	3117	0	0	0	0	0	1	0	0	399	0	0	1
chromosome_4:13265530-13265959	Cluster_876	N	3	1	1	2	1	3	0	0	0	1	1	0	4	0	1	336	0	1	364
chromosome_4:13290787-13291215	Cluster_877	N	32	193	35	4	20	45	46	70	63	44	25	62	47	35	9	28	36	11	62
chromosome_4:13296363-13296775	Cluster_878	N	32	95	19	1	13	32	36	111	79	34	28	48	31	18	7	23	27	4	49
chromosome_4:13634970-13635395	Cluster_879	N	19	3	4	0	1	34	17	38	1	122	3	369	51	2	1	91	3	0	0
chromosome_4:13636478-13636906	Cluster_880	N	0	452	0	0	112	2	0	0	12	30	0	10	11	0	1	0	0	7	0
chromosome_4:13664721-13665149	Cluster_881	N	5	149	4	0	0	59	50	20	130	106	0	23	372	9	3	11	114	1	74
chromosome_4:13665155-13665686	Cluster_882	N	22	1052	6	0	1	41	173	179	91	26	7	17	47	1	0	6	46	0	43
chromosome_4:13768579-13769096	Cluster_883	N	1	2167	71	0	135	186	142	75	0	432	0	0	58	1	4	5	2	1	0
chromosome_4:13784934-13785350	Cluster_884	N	1	254	0	0	4	2	58	15	15	14	0	13	15	0	2	1	1	0	14
chromosome_4:13861924-13862352	Cluster_885	N	2	1215	1	0	2	0	2	1	1	0	0	3	0	0	2	3	2	0	1
chromosome_4:13892803-13893230	Cluster_886	N	0	303	0	0	0	55	1	0	0	0	0	21	2	2	1	1	4	0	0
chromosome_4:13907044-13907606	Cluster_887	N	165	2229	148	13	812	916	752	341	67	112	199	18	24	1807	101	66	19	15	15
chromosome_4:13934374-13934799	Cluster_888	N	0	220	20	0	0	19	18	19	4	5	5	4	43	13	2	16	39	1	9
chromosome_4:13988632-13989050	Cluster_889	N	3	176	2	0	62	19	133	6	1	114	0	23	1	12	9	21	12	0	0
chromosome_4:14073642-14074069	Cluster_890	N	0	123	4	0	367	36	54	0	1	25	1	8	642	3	2	87	4	2	0
chromosome_4:14214479-14214907	Cluster_891	N	3	3174	14	0	7	2	1	1	114	856	1	1	1	58	4	2	284	0	175
chromosome_4:14216585-14216988	Cluster_892	N	3	446	0	0	0	1	133	12	0	0	0	0	6	0	0	0	39	0	16
chromosome_4:14287299-14287731	Cluster_893	N	38	987	9	1	1	500	61	0	8	390	15	61	75	10	5	27	1	2	98
chromosome_4:14288882-14289311	Cluster_894	N	0	324	19	0	2	0	63	1	0	9	0	65	0	1	0	78	17	0	0
chromosome_4:14387915-14388333	Cluster_895	N	0	155	6	0	109	60	1	37	16	1	0	1	19	0	0	123	2	0	0
chromosome_4:14397764-14398264	Cluster_896	N	16	1698	4	0	0	938	526	51	30	0	31	260	0	10	77	0	92	22	18
chromosome_4:14402064-14402491	Cluster_897	N	0	1180	0	0	0	3	0	0	0	0	0	9	0	1	0	0	0	0	4
chromosome_4:14440912-14441343	Cluster_898	N	9	1289	148	0	168	320	0	462	0	486	70	478	91	64	0	0	101	36	222
chromosome_4:14476569-14476997	Cluster_899	N	0	180	3	0	4	24	47	4	164	63	0	0	0	2	0	0	7	0	0
chromosome_4:14668306-14668731	Cluster_900	N	1	273	1	0	274	0	1	0	0	0	0	0	0	0	0	0	0	0	23
chromosome_4:14727082-14727499	Cluster_901	N	76	1	765	39	4	490	2	82	0	8	145	0	1	7	2097	5	68	56	98
chromosome_4:14856275-14856693	Cluster_902	N	0	0	0	350	0	0	0	1	0	0	0	0	0	16	0	0	0	58	7
chromosome_4:14863054-14863471	Cluster_903	N	12	2	70	17	25	0	1	11	0	6	38	4	4	66	8	2	81	6	26
chromosome_4:15100971-15102032	Cluster_904	N	68	362	116	3	28	152	39	881	255	50	86	305	171	17	25	66	109	8	221
chromosome_4:15299082-15299602	Cluster_905	N	27	3	0	0	0	1	0	0	258	0	1	727	216	91	13	2	0	3	0
chromosome_4:15326293-15326719	Cluster_906	N	3	662	14	4	24	88	300	39	14	33	23	519	24	16	3	2	4	9	31
chromosome_4:15363554-15363980	Cluster_907	N	0	0	0	0	0	127	182	1	1	0	1	201	0	1	0	1	2	2	1
chromosome_4:15491174-15491583	Cluster_908	N	0	144	19	0	4	17	159	22	21	60	17	3	3	5	0	55	0	3	8
chromosome_4:15500143-15500556	Cluster_909	N	0	6	33	2	0	4	0	3	335	8	0	0	2	0	3	0	86	0	0
chromosome_4:15548487-15548954	Cluster_910	N	45	185	83	5	20	122	56	376	188	87	29	94	252	73	19	110	56	45	120
chromosome_4:15551159-15551627	Cluster_911	N	75	41	42	1	6	67	46	388	113	56	46	29	64	41	9	80	25	61	57
chromosome_4:15553372-15553793	Cluster_912	N	21	67	19	3	8	28	24	30	60	31	15	23	42	10	15	29	23	2	11
chromosome_4:15555300-15555762	Cluster_913	N	66	193	46	34	24	80	73	66	72	28	56	38	128	79	36	47	56	31	53
chromosome_4:15639899-15640326	Cluster_914	N	1	5	0	1	0	1	0	300	1	1437	34	0	2	0	1	0	183	2	0
chromosome_4:15645806-15646641	Cluster_915	N	10	252	16	0	2	23	78	214	56	652	37	20	4	12	3	13	55	6	19
chromosome_4:15773388-15773797	Cluster_916	N	3	289	2	0	0	35	62	0	6	4	0	0	10	0	0	17	0	4	0
chromosome_4:16015208-16015707	Cluster_917	N	3	483	102	1	2	20	168	49	9	33	7	1	0	0	0	281	46	57	80
chromosome_4:16228914-16229590	Cluster_918	N	70	1	25	3	50	185	523	771	0	1	3	213	74	54	47	6	103	10	26
chromosome_4:16240518-16240935	Cluster_919	N	0	300	0	0	19	44	34	2	0	0	0	112	1	0	0	0	0	0	0
chromosome_4:16251757-16252174	Cluster_920	N	0	1	0	618	0	0	1	0	1	0	1	2	1	0	0	4	0	0	1
chromosome_4:16349215-16349642	Cluster_921	N	3	177	8	0	56	34	99	271	5	105	1	21	1	6	15	14	10	0	2
chromosome_4:16429036-16429463	Cluster_922	N	1	573	3	0	1	0	35	3	4	8	2	18	0	4	4	246	2	0	1
chromosome_4:16452806-16453232	Cluster_923	N	2	4	907	0	4	1	3	3	1	0	0	0	0	7	1	7	0	1	13
chromosome_4:16635577-16636004	Cluster_924	N	0	99	16	6	0	82	505	25	12	15	9	135	11	0	0	66	30	0	5
chromosome_4:16660541-16660968	Cluster_925	N	18	324	0	0	0	102	226	7	40	192	4	91	2	2	0	20	1	1	0
chromosome_4:16928104-16928521	Cluster_926	N	0	179	3	0	37	7	39	1	0	3	2	193	2	0	1	3	1	0	2
chromosome_4:17146962-17147382	Cluster_927	N	0	402	31	1	11	5	19	8	0	139	9	14	10	10	1	19	8	0	14
chromosome_4:17210399-17210823	Cluster_928	N	183	187	11	0	55	2	2	0	7	13	2	2	1	0	1	9	9	8	4
chromosome_4:17343709-17344145	Cluster_929	N	13	1351	0	1	246	1	171	56	20	0	38	48	228	140	0	0	7	150	496
chromosome_4:17355668-17356085	Cluster_930	N	11	33	61	9	33	31	27	42	1	15	13	65	2	2	14	1	19	3	12
chromosome_4:17396506-17396915	Cluster_931	N	1	168	1	1	0	38	152	1	0	53	0	17	0	0	0	8	35	0	2
chromosome_4:17398805-17399222	Cluster_932	N	13	424	0	0	18	256	33	139	9	26	0	4	13	111	0	15	17	0	2
chromosome_4:17399290-17399723	Cluster_933	N	67	1438	0	0	123	250	220	131	12	34	0	5	244	93	1	28	18	0	74
chromosome_4:17399865-17400271	Cluster_934	N	21	52	1	1	29	58	21	39	39	56	5	10	214	34	0	54	65	0	9
chromosome_4:17670400-17670814	Cluster_935	N	1	79	0	0	0	0	2	0	0	0	1	542	0	0	2	0	0	0	0
chromosome_4:17720306-17720776	Cluster_936	N	348	1153	245	21	166	348	522	459	624	365	75	230	732	257	82	274	376	112	656
chromosome_4:17720796-17721587	Cluster_937	N	284	1573	416	19	150	859	612	3577	1517	463	242	263	492	282	249	318	445	191	773
chromosome_4:17721697-17722186	Cluster_938	N	244	495	190	11	85	482	386	1997	1054	280	150	164	338	192	90	286	59	76	253
chromosome_4:17722491-17722961	Cluster_939	N	432	632	330	192	265	447	367	807	730	395	284	274	375	422	223	394	231	255	369
chromosome_4:17723137-17723612	Cluster_940	N	701	1596	706	502	590	788	731	971	802	760	519	614	931	679	564	655	664	609	658
chromosome_4:17723681-17724177	Cluster_941	N	82	386	102	2	47	273	151	921	504	112	84	78	203	48	76	126	42	39	170
chromosome_4:17828553-17828967	Cluster_942	N	2	24	3	0	1	7	1	1	0	320	0	5	4	3	1	8	6	3	6
chromosome_4:17923009-17923428	Cluster_943	N	56	140	94	10	20	3	8	105	150	48	127	0	82	32	42	12	9	1	8
chromosome_4:17950216-17950638	Cluster_944	N	0	471	8	0	3	19	7	3	6	4	0	4	2	5	0	3	1	1	0
chromosome_4:17965595-17966025	Cluster_945	N	0	2190	0	1	0	3	89	0	0	1	0	0	261	0	2	210	32	2	0
chromosome_4:17970711-17971215	Cluster_946	N	189	3408	419	1	1382	606	1	1098	0	980	175	2250	951	72	0	8	451	18	442
chromosome_4:18161835-18162261	Cluster_947	N	0	471	1	2	1	0	20	5	0	1	0	2	0	0	0	71	2	0	7
chromosome_4:18212556-18212996	Cluster_948	N	201	459	1	0	93	180	980	301	768	67	35	3	498	75	23	154	2	0	161
chromosome_4:18376951-18377380	Cluster_949	N	0	2723	3	0	0	5	0	3	3	0	0	32	0	0	0	4	1	0	14
chromosome_4:18527727-18529173	Cluster_950	N	109	2104	3	1	52	107	785	66	15	75	10	1261	17	8	1	105	3	26	70
chromosome_4:18553892-18554339	Cluster_951	N	341	436	924	26	77	422	1976	1027	6547	1770	3858	515	256	185	66	167	1086	98	676
chromosome_4:18671155-18671738	Cluster_952	N	28	872	12	0	23	312	165	78	305	53	0	340	0	3	1	0	35	1	8
chromosome_4:19007750-19008170	Cluster_953	N	41	727	492	8	186	674	352	299	298	38	418	356	37	22	7	47	250	324	394
chromosome_4:19362264-19362691	Cluster_954	N	5	198	0	0	0	89	78	0	30	44	13	129	85	3	1	29	17	0	11
chromosome_4:19516141-19516541	Cluster_955	N	0	206	0	0	0	4	67	0	6	1	0	0	144	0	0	137	0	1	1
chromosome_4:19528454-19528881	Cluster_956	N	1	176	5	3	2	4	2	94	132	134	1	0	46	4	16	4	6	11	19
chromosome_4:19590357-19590773	Cluster_957	N	0	0	0	368	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chromosome_4:19740510-19740935	Cluster_958	N	2	143	0	0	0	13	4	1	147	11	3	9	30	8	1	29	0	0	0
chromosome_4:19789764-19790178	Cluster_959	N	4	0	18	17	0	0	0	36	4	3	1	0	60	17	25	16	14	22	119
chromosome_4:19866300-19866728	Cluster_960	N	29	139	28	0	13	50	21	184	62	75	46	29	53	31	16	21	51	10	22
chromosome_4:19884957-19885499	Cluster_961	N	175	162	249	12	41	154	58	845	196	153	167	125	219	74	39	80	98	59	48
chromosome_4:19886715-19887215	Cluster_962	N	89	55	99	6	15	123	27	630	195	52	112	82	132	23	29	58	73	31	79
chromosome_4:19944714-19945149	Cluster_963	N	2	66	0	0	253	423	671	3	1	2	9	310	2	3	0	2	0	0	0
chromosome_4:19958311-19958763	Cluster_964	N	10	2174	252	8	254	226	615	226	188	592	54	831	275	31	23	16	128	30	290
chromosome_4:19969356-19969773	Cluster_965	N	172	1431	2	0	0	2	852	900	3	137	1	1	2	1	21	4	1	462	2
chromosome_4:19983578-19983995	Cluster_966	N	7	10	23	52	34	0	1	17	5	17	51	23	21	11	11	15	25	43	24
chromosome_4:20300028-20300455	Cluster_967	N	26	706	42	0	46	18	146	4	64	262	2	124	349	62	0	54	28	40	20
chromosome_4:20408869-20409286	Cluster_968	N	4	175	9	7	43	2	58	9	0	4	13	23	5	2	8	11	47	4	10
chromosome_4:20508229-20508645	Cluster_969	N	11	0	44	18	20	3	2	23	2	40	146	0	4	49	12	12	56	18	11
chromosome_4:20604059-20604486	Cluster_970	N	0	37	36	0	4	2	153	3	1	1	0	0	210	0	0	0	0	0	0
chromosome_4:20692436-20692853	Cluster_971	N	3	0	0	26	0	1	1	0	6	2	3	0	137	1	11	0	158	3	7
chromosome_4:20741046-20741459	Cluster_972	N	1	0	0	0	1	162	0	0	1	0	0	0	0	238	0	0	0	1	0
chromosome_4:20824351-20824772	Cluster_973	N	2	2	2	26	8	6	0	0	12	6	46	0	0	40	11	0	248	12	4
chromosome_4:20896469-20896919	Cluster_974	N	69	954	182	0	128	90	244	149	93	992	69	158	150	206	7	143	57	49	149
chromosome_4:20991993-20992410	Cluster_975	N	0	46	0	12	42	0	30	0	97	34	52	17	11	2	8	8	75	15	13
chromosome_4:21019115-21019541	Cluster_976	N	49	269	4	118	0	1	0	0	0	3	0	0	0	1	0	0	0	22	0
chromosome_4:21040107-21040524	Cluster_977	N	11	622	0	1	0	0	232	18	0	0	0	54	18	0	0	69	0	1	25
chromosome_4:21040617-21041044	Cluster_978	N	26	0	5	3	0	0	62	0	0	3	1	0	0	2	0	288	0	32	0
chromosome_4:21042078-21042507	Cluster_979	N	36	52	3	3	113	1	0	65	0	7	1	0	31	0	131	0	0	18	0
chromosome_4:21044141-21044558	Cluster_980	N	2	103	21	19	53	41	22	29	0	100	1	20	24	60	0	0	59	109	8
chromosome_4:21165394-21166549	Cluster_981	N	24	6419	1394	0	271	566	1797	632	752	28	28	2937	318	45	230	780	1070	16	124
chromosome_4:21175050-21175469	Cluster_982	N	225	215	255	0	19	0	10	334	512	118	384	1	195	150	105	47	14	0	47
chromosome_4:21193676-21194092	Cluster_983	N	1	280	12	0	39	73	0	29	0	14	0	211	11	7	6	1	24	6	2
chromosome_4:21333980-21334406	Cluster_984	N	0	264	0	1	1	4	363	0	0	0	0	0	176	59	0	4	0	21	0
chromosome_4:21365937-21366357	Cluster_985	N	0	13	0	0	0	1208	252	6	0	6007	1	385	2	0	20	377	2	10	2096
chromosome_4:21502650-21503120	Cluster_986	N	453	12	261	24	119	375	335	504	810	400	103	283	0	0	78	583	595	100	720
chromosome_4:21503785-21504252	Cluster_987	N	2606	2818	901	89	314	406	826	1342	3262	901	399	1132	1014	1147	741	990	1319	436	1226
chromosome_4:21505461-21505931	Cluster_988	N	441	1920	300	13	102	382	346	503	778	411	108	285	1833	915	67	591	607	90	709
chromosome_4:21642478-21642897	Cluster_989	N	107	33	79	15	58	109	241	173	185	467	17	126	108	29	16	107	47	41	230
chromosome_4:21643249-21643865	Cluster_990	N	409	4039	262	20	521	639	709	423	571	1764	56	1057	253	108	60	582	152	67	334
chromosome_4:21643996-21644419	Cluster_991	N	25	1148	15	2	130	47	276	46	35	196	5	172	26	14	4	34	8	4	64
chromosome_4:21644757-21645177	Cluster_992	N	133	78	87	9	65	159	175	141	219	462	16	142	96	23	16	134	67	41	212
chromosome_4:21645299-21645718	Cluster_993	N	127	0	96	14	54	133	187	175	167	525	16	124	100	18	19	130	50	44	207
